iter	MultiClass
0	1.078473222
1	1.06276978
2	1.049840535
3	1.039503282
4	1.030716228
5	1.023309033
6	1.017091542
7	1.012047437
8	1.007747826
9	1.003875221
10	1.000816905
11	0.9980803832
12	0.9958117094
13	0.9936902507
14	0.9918503061
15	0.9901404549
16	0.9887069579
17	0.9875642081
18	0.9865832575
19	0.9853914142
20	0.9845873287
21	0.9839502973
22	0.9833226686
23	0.9828071418
24	0.9823564648
25	0.981924253
26	0.9814013425
27	0.9809919595
28	0.9805797683
29	0.980308625
30	0.9799670657
31	0.9796398187
32	0.9793643468
33	0.97918223
34	0.9788371267
35	0.9785054384
36	0.9781415304
37	0.9778700294
38	0.9776902691
39	0.9775174691
40	0.9773607031
41	0.9771302252
42	0.9767100378
43	0.9764979829
44	0.9762819197
45	0.9761032025
46	0.9759153897
47	0.9757445762
48	0.9755489346
49	0.9753727813
50	0.9751800887
51	0.9749892427
52	0.9748519653
53	0.9746454568
54	0.9745070304
55	0.9743676429
56	0.9741199563
57	0.9740049387
58	0.9738549607
59	0.9737445919
60	0.9734315675
61	0.9732649934
62	0.9731460959
63	0.9730352622
64	0.9729399193
65	0.9727964595
66	0.9727310399
67	0.9724833725
68	0.972353684
69	0.9721771084
70	0.9719861996
71	0.971915006
72	0.971717747
73	0.9713745688
74	0.9710982647
75	0.9710025233
76	0.9707256455
77	0.9705417088
78	0.9704324243
79	0.9703394198
80	0.9702515217
81	0.9700594422
82	0.9697674879
83	0.9697186981
84	0.9696043909
85	0.9695557517
86	0.9693721534
87	0.9693130619
88	0.9692530862
89	0.9691511696
90	0.9688451868
91	0.968735465
92	0.9686594993
93	0.9684312215
94	0.9682476431
95	0.9680392111
96	0.9677861009
97	0.9676824385
98	0.9676049547
99	0.9674937859
100	0.9673294527
101	0.9671876012
102	0.9669467105
103	0.9667832531
104	0.9667020037
105	0.9665465102
106	0.9664269861
107	0.9661997785
108	0.9660749857
109	0.9659346331
110	0.9657640827
111	0.9655728451
112	0.965401784
113	0.9652347872
114	0.9650012323
115	0.964871943
116	0.9646318604
117	0.9645142989
118	0.9644463962
119	0.964197764
120	0.9638429763
121	0.9636293545
122	0.9635070015
123	0.9633245586
124	0.963119186
125	0.9629240715
126	0.9628664583
127	0.9626218803
128	0.9623983622
129	0.9622342864
130	0.9618886597
131	0.9616528424
132	0.9615126696
133	0.9613074793
134	0.9611944351
135	0.9610242933
136	0.9608019354
137	0.9605747146
138	0.9604251843
139	0.9602852085
140	0.9600877303
141	0.9598394408
142	0.9597055222
143	0.9594268449
144	0.9593272093
145	0.9591910426
146	0.9589392661
147	0.9587168688
148	0.9585248427
149	0.9583391907
150	0.9581992221
151	0.9579478442
152	0.9577404097
153	0.9576514959
154	0.9573753727
155	0.9571463615
156	0.9570219937
157	0.9567820118
158	0.9566612159
159	0.9564152109
160	0.9562331767
161	0.9561894572
162	0.9560076225
163	0.955877975
164	0.9557227622
165	0.9556031728
166	0.9554343305
167	0.9552282087
168	0.9550581696
169	0.9548139863
170	0.9547315845
171	0.9546125351
172	0.9545001188
173	0.9542077753
174	0.9540652753
175	0.9539033425
176	0.9537144191
177	0.9534438446
178	0.9533156548
179	0.9532847412
180	0.9531806679
181	0.9530549099
182	0.9528884605
183	0.9526593913
184	0.9524936544
185	0.9523547839
186	0.9521456048
187	0.9518646119
188	0.9517749457
189	0.9516076295
190	0.9514374256
191	0.9512561088
192	0.95098588
193	0.9508373481
194	0.9507121365
195	0.9503945735
196	0.9503242944
197	0.9501119902
198	0.9499672189
199	0.9498065395
200	0.9495859052
201	0.9493520748
202	0.9492217742
203	0.948914747
204	0.9487863933
205	0.9486159339
206	0.9484540276
207	0.948229328
208	0.9479764962
209	0.94775901
210	0.9476661256
211	0.9474587085
212	0.9473955696
213	0.9471440819
214	0.9470860582
215	0.9469212321
216	0.9466400348
217	0.9465344018
218	0.9463295786
219	0.9461776873
220	0.945867237
221	0.9456602663
222	0.9455158052
223	0.9454488765
224	0.945207961
225	0.9449573388
226	0.9446328894
227	0.944391948
228	0.9442098407
229	0.9439831553
230	0.9438170717
231	0.9436875844
232	0.9435941614
233	0.9433468625
234	0.9431897882
235	0.9429764602
236	0.942835464
237	0.942552628
238	0.9422932232
239	0.942201565
240	0.9420515792
241	0.9418373404
242	0.9417112267
243	0.9415768771
244	0.9414922565
245	0.9413285171
246	0.9411258378
247	0.940938629
248	0.9406264769
249	0.9404706451
250	0.9402966555
251	0.940088073
252	0.9398648448
253	0.9396931957
254	0.9395485079
255	0.9393133349
256	0.9391897175
257	0.9390162333
258	0.9388724401
259	0.9387707772
260	0.9385569663
261	0.9384849191
262	0.9382407129
263	0.938059988
264	0.937772422
265	0.9375623944
266	0.9374736549
267	0.9372480378
268	0.9370877982
269	0.9369825725
270	0.9368343108
271	0.9365591953
272	0.9363739114
273	0.9361578945
274	0.9358787555
275	0.9357028414
276	0.935540595
277	0.9353198217
278	0.9352414477
279	0.9350706962
280	0.9348381105
281	0.9346790043
282	0.9345706775
283	0.9343927657
284	0.9342793223
285	0.9341414268
286	0.9338930072
287	0.9337536266
288	0.9335969722
289	0.9333788328
290	0.933270424
291	0.9330987385
292	0.9329044136
293	0.9328333801
294	0.9326484534
295	0.9324719949
296	0.9323626838
297	0.9322172759
298	0.9320227394
299	0.931784421
300	0.9316620535
301	0.9314664695
302	0.9312805385
303	0.9312094989
304	0.9310695193
305	0.930913547
306	0.9308000194
307	0.9307123966
308	0.9305612264
309	0.9304265573
310	0.9303240737
311	0.9300872069
312	0.9299426329
313	0.9297035585
314	0.9294796934
315	0.9294192553
316	0.9293178956
317	0.9291811906
318	0.9290134364
319	0.9288968069
320	0.9288003204
321	0.9285941617
322	0.928474197
323	0.9282772704
324	0.9281040623
325	0.9280064447
326	0.9277817573
327	0.9276171706
328	0.9274908677
329	0.9273853941
330	0.9272650079
331	0.9270869937
332	0.9270200108
333	0.9268484202
334	0.9266759262
335	0.9265232493
336	0.9263938391
337	0.9262051687
338	0.9260259133
339	0.9258744366
340	0.9256842246
341	0.9253699199
342	0.9252198134
343	0.9250437896
344	0.924836806
345	0.9247101648
346	0.9245448484
347	0.9244339549
348	0.9243027398
349	0.9240500962
350	0.9237738264
351	0.9235689363
352	0.923450136
353	0.9232839624
354	0.9231578975
355	0.9230740227
356	0.9229605669
357	0.9227960121
358	0.9226504065
359	0.9224414186
360	0.9222452496
361	0.9220042617
362	0.9218882577
363	0.9218131193
364	0.9216819716
365	0.9216240946
366	0.9213756542
367	0.9211868727
368	0.9210269843
369	0.9208320982
370	0.9207064057
371	0.9206018931
372	0.9205304907
373	0.9203760084
374	0.9202543806
375	0.9201590432
376	0.9200408268
377	0.9199361969
378	0.9197692387
379	0.9196018648
380	0.9194542842
381	0.919317308
382	0.9191360288
383	0.9189677333
384	0.9187988282
385	0.9186133544
386	0.918432389
387	0.9183008445
388	0.9182653003
389	0.9181818086
390	0.9179871788
391	0.9178551405
392	0.9177425251
393	0.9175923311
394	0.9173271113
395	0.9171547392
396	0.9169744587
397	0.9168587182
398	0.916783794
399	0.916579653
400	0.9163452505
401	0.9162495387
402	0.9160532243
403	0.9158597685
404	0.915781675
405	0.9156172956
406	0.9153602109
407	0.9152404603
408	0.9150378293
409	0.9149754254
410	0.9148166513
411	0.9147134679
412	0.9145916495
413	0.9144268665
414	0.9142606547
415	0.9140844592
416	0.9139470908
417	0.9136938338
418	0.9133915774
419	0.9132599017
420	0.9131270129
421	0.9128939351
422	0.9127747047
423	0.912636558
424	0.9124502277
425	0.912241748
426	0.9120894259
427	0.9119384533
428	0.9117752479
429	0.9115791524
430	0.9114124334
431	0.9112879325
432	0.9111862178
433	0.9110051016
434	0.9108816018
435	0.9107588856
436	0.9106688334
437	0.9105564606
438	0.9104224609
439	0.9102506205
440	0.9099788926
441	0.9098706539
442	0.9096501294
443	0.9095433736
444	0.9093732372
445	0.9092623721
446	0.9091804379
447	0.9089856388
448	0.9089326771
449	0.9087635016
450	0.9085390598
451	0.908345508
452	0.9081544808
453	0.9079954633
454	0.9077471299
455	0.9075927087
456	0.9075044847
457	0.907370028
458	0.9072286155
459	0.9070370215
460	0.9068929526
461	0.9068161089
462	0.9066601421
463	0.9066011916
464	0.9063955554
465	0.9062563734
466	0.90606124
467	0.9059265261
468	0.9058575642
469	0.9057409143
470	0.9055162625
471	0.9053217199
472	0.9051781838
473	0.9049823563
474	0.904848055
475	0.9046830256
476	0.9045790371
477	0.9045434488
478	0.9044266214
479	0.9042813817
480	0.90415802
481	0.9040605249
482	0.9039676445
483	0.9037609303
484	0.9036179837
485	0.9034904154
486	0.9032560093
487	0.903115275
488	0.902893495
489	0.9028185175
490	0.9026520202
491	0.9025468803
492	0.902446802
493	0.9023508117
494	0.9021698772
495	0.9020826485
496	0.9019439576
497	0.9017867086
498	0.901659718
499	0.9015308606
500	0.9013644322
501	0.9012529458
502	0.9010271032
503	0.9008970789
504	0.9007069176
505	0.9006429595
506	0.9005249252
507	0.9003385283
508	0.9001210513
509	0.9000534625
510	0.8999461432
511	0.8998786324
512	0.8997785102
513	0.8997456527
514	0.8996330616
515	0.8995165958
516	0.8993858966
517	0.8992525687
518	0.8990933761
519	0.8989317534
520	0.8988326502
521	0.8985863203
522	0.8984682904
523	0.8983365563
524	0.8981928663
525	0.8980222598
526	0.8979369513
527	0.8978512914
528	0.8977434148
529	0.897569601
530	0.897373088
531	0.8973209068
532	0.8969873927
533	0.8968929167
534	0.8968329053
535	0.8967268045
536	0.8966238771
537	0.8964661996
538	0.8963322028
539	0.8962311018
540	0.8960910435
541	0.8959561217
542	0.8958133774
543	0.8957108529
544	0.89552903
545	0.8954135029
546	0.8952133864
547	0.8950653232
548	0.8949154273
549	0.8947658876
550	0.8946126203
551	0.8945697405
552	0.8944360615
553	0.8943193003
