iter	Passed	Remaining
0	193	192999
1	219	109606
2	242	80729
3	260	64975
4	278	55351
5	293	48652
6	308	43818
7	323	40126
8	337	37176
9	350	34722
10	361	32525
11	373	30723
12	384	29198
13	396	27900
14	407	26743
15	417	25705
16	427	24740
17	438	23925
18	448	23176
19	460	22562
20	472	22013
21	481	21398
22	491	20898
23	502	20427
24	513	20016
25	523	19596
26	533	19241
27	544	18889
28	554	18557
29	564	18241
30	573	17939
31	583	17665
32	594	17424
33	604	17184
34	615	16975
35	626	16768
36	636	16577
37	647	16396
38	658	16227
39	669	16063
40	678	15876
41	689	15730
42	700	15588
43	710	15440
44	720	15296
45	731	15176
46	741	15038
47	752	14920
48	762	14801
49	773	14697
50	783	14581
51	792	14447
52	801	14320
53	811	14221
54	821	14123
55	832	14040
56	843	13962
57	853	13861
58	864	13785
59	874	13698
60	884	13619
61	894	13533
62	904	13451
63	914	13370
64	924	13297
65	934	13230
66	944	13147
67	954	13081
68	963	13001
69	972	12924
70	982	12854
71	992	12791
72	1002	12732
73	1013	12679
74	1024	12630
75	1033	12570
76	1044	12516
77	1054	12464
78	1064	12411
79	1074	12360
80	1084	12304
81	1095	12264
82	1105	12219
83	1115	12169
84	1126	12122
85	1135	12072
86	1146	12027
87	1156	11984
88	1166	11937
89	1184	11978
90	1232	12308
91	1258	12420
92	1271	12400
93	1292	12461
94	1303	12415
95	1313	12372
96	1325	12342
97	1335	12294
98	1345	12248
99	1355	12203
100	1367	12174
101	1378	12133
102	1388	12093
103	1399	12057
104	1410	12025
105	1421	11984
106	1431	11942
107	1441	11903
108	1451	11867
109	1462	11829
110	1472	11793
111	1482	11755
112	1493	11719
113	1503	11684
114	1513	11647
115	1523	11612
116	1534	11581
117	1544	11541
118	1553	11504
119	1563	11469
120	1574	11434
121	1583	11396
122	1592	11356
123	1603	11324
124	1612	11289
125	1622	11251
126	1631	11211
127	1640	11176
128	1650	11141
129	1659	11104
130	1668	11070
131	1678	11035
132	1688	11005
133	1698	10979
134	1708	10948
135	1719	10923
136	1728	10888
137	1738	10861
138	1748	10830
139	1758	10800
140	1767	10769
141	1776	10732
142	1786	10706
143	1796	10678
144	1805	10647
145	1815	10619
146	1825	10593
147	1835	10564
148	1845	10539
149	1854	10511
150	1864	10483
151	1874	10455
152	1884	10431
153	1894	10407
154	1904	10381
155	1913	10353
156	1923	10326
157	1932	10298
158	1941	10271
159	1951	10247
160	1961	10219
161	1969	10187
162	1979	10162
163	1988	10136
164	1998	10113
165	2008	10090
166	2017	10063
167	2028	10044
168	2037	10020
169	2047	9996
170	2057	9974
171	2066	9948
172	2076	9925
173	2086	9904
174	2096	9884
175	2106	9863
176	2116	9843
177	2127	9825
178	2137	9804
179	2146	9780
180	2156	9756
181	2165	9734
182	2175	9711
183	2185	9691
184	2194	9668
185	2203	9645
186	2214	9625
187	2224	9607
188	2233	9585
189	2241	9554
190	2249	9527
191	2257	9501
192	2267	9480
193	2276	9458
194	2286	9439
195	2296	9422
196	2306	9402
197	2316	9383
198	2326	9364
199	2336	9346
200	2346	9327
201	2356	9308
202	2365	9288
203	2375	9268
204	2384	9249
205	2394	9230
206	2404	9212
207	2414	9194
208	2424	9177
209	2435	9161
210	2445	9145
211	2457	9133
212	2467	9115
213	2477	9099
214	2486	9079
215	2496	9060
216	2506	9043
217	2515	9024
218	2525	9006
219	2535	8989
220	2545	8971
221	2555	8954
222	2564	8935
223	2574	8919
224	2584	8902
225	2594	8884
226	2603	8866
227	2613	8849
228	2622	8830
229	2632	8814
230	2641	8794
231	2650	8775
232	2660	8758
233	2670	8742
234	2679	8724
235	2689	8706
236	2699	8691
237	2709	8674
238	2718	8656
239	2728	8639
240	2737	8622
241	2747	8604
242	2756	8587
243	2766	8570
244	2775	8551
245	2784	8534
246	2793	8516
247	2804	8502
248	2813	8486
249	2823	8470
250	2832	8453
251	2841	8434
252	2851	8417
253	2860	8402
254	2870	8386
255	2880	8372
256	2890	8355
257	2899	8339
258	2909	8324
259	2919	8308
260	2928	8292
261	2938	8276
262	2948	8262
263	2958	8246
264	2968	8233
265	2979	8221
266	2988	8204
267	2998	8189
268	3007	8173
269	3017	8159
270	3027	8145
271	3037	8130
272	3047	8115
273	3058	8102
274	3068	8088
275	3077	8072
276	3087	8057
277	3096	8042
